restaurant name,feature
Aura Always Veg,Delivery
Aura Always Veg,Seating
Aura Always Veg,Digital Payments
Aura Always Veg,Takeout
Aura Always Veg,Table Service
Green Channel,Seating
Green Channel,Takeout
Gossip The Cafe Bar,Seating
Gossip The Cafe Bar,Takeout
The Boston Butt,Reservations
The Boston Butt,Seating
The Boston Butt,Table Service
Lotus Leaf,Reservations
Lotus Leaf,Seating
Lotus Leaf,Digital Payments
Andheri West,Seating
Andheri West,Reservations
Andheri West,Table Service
Timess Square,Delivery
Timess Square,Seating
Timess Square,Digital Payments
Timess Square,Takeout
Timess Square,Table Service
Picasso,Delivery
Picasso,Seating
Picasso,Digital Payments
Picasso,Takeout
Picasso,Table Service
Hungry Jd's,Table Service
Hungry Jd's, Reservations
Hungry Jd's, Seating
Pizza Express,Delivery
Pizza Express,Seating
Pizza Express,Digital Payments
Pizza Express,Takeout
Pizza Express,Table Service
Britannia & Company Restaurant,Delivery
Britannia & Company Restaurant,Seating
Britannia & Company Restaurant,Takeou
Britannia & Company Restaurant,Highchairs Available
Britannia & Company Restaurant,Serves Alcohol
Kala Ghoda Cafe,Seating
Kala Ghoda Cafe,Free Wifi
Kala Ghoda Cafe,Digital Payments
Kala Ghoda Cafe,Takeout
Kala Ghoda Cafe,Table Service
Chetana,Reservations
Chetana,Parking Available
Chetana,Seating
Chetana,Digital Payments
Chetana,Takeout
Chetana,Table Service
Punjab Grill,Reservations
Punjab Grill,Wheelchair Accessible
Punjab Grill,Serves Alcohol
Punjab Grill,Delivery
Punjab Grill,Seating
Punjab Grill,Digital Payments
Punjab Grill,Takeout
Punjab Grill,Table Service
The Pantry Cafe,Delivery
The Pantry Cafe,Seating
The Pantry Cafe,Digital Payments
The Pantry Cafe,Takeout
The Pantry Cafe,Table Service
The Pantry Cafe,Wheelchair Accessible
The Pantry Cafe,Free Wifi
The Pantry Cafe,
Mamagoto,Takeout
Mamagoto,Reservations
Mamagoto,Seating
Mamagoto,Table Service
Mamagoto,Parking Available
Mamagoto,Wheelchair Accessible
Mamagoto,Serves Alcohol
Mamagoto,Full Bar
Mamagoto, Valet Parking
Fountain Inn,Delivery
Fountain Inn,Seating
Fountain Inn,Digital Payments
Fountain Inn,Takeout
Fountain Inn,Table Service
Tasse de The,Free Wifi
Tasse de The,Private Dining
Tasse de The, Reservations
Tasse de The,Digital Payments
Tasse de The,Takeout
Tasse de The,Table Service
The Clearing House,Reservations
The Clearing House,Seating
The Clearing House,Serves Alcohol
The Clearing House,Table Service
Pizza express,Delivery
Pizza express,Seating
Pizza express,Digital Payments
Pizza express,Takeout
Pizza express,Table Service
Hotel Fountain Plaza Restaurant,Seating
Hotel Fountain Plaza Restaurant,Takeout
Hotel Fountain Plaza Restaurant,Table Service
olympia,Seating
olympia,Takeout
olympia,Table Service
House of Tipsy,Reservations
House of Tipsy,Seating
House of Tipsy,Table Service
Copper Chimney,Reservations
Copper Chimney,Seating
Copper Chimney,Parking Available
Copper Chimney,Serves Alcohol
Copper Chimney,Buffet
Copper Chimney,Delivery
Copper Chimney,Table Service
Pandora's Box,Delivery
Pandora's Box,Seating
Pandora's Box,Takeout
Pratap Lunch Home,Reservations
Pratap Lunch Home,Delivery
Pratap Lunch Home,Seating
Pratap Lunch Home,Serves Alcohol
Pratap Lunch Home,Takeout
Pratap Lunch Home,Table Service
Mocambo Cafe,Serves Alcohol
Mocambo Cafe,Wheelchair Accessible
Mocambo Cafe,Reservations
Mocambo Cafe,Seating
Mocambo Cafe,Takeout
Mocambo Cafe,Table Service
The Irish House Kala Ghoda,Delivery
The Irish House Kala Ghoda,Seating
The Irish House Kala Ghoda,Digital Payments
The Irish House Kala Ghoda,Takeout
The Irish House Kala Ghoda,Table Service
Ling's Pavilion,Takeout
Ling's Pavilion, Reservations
Ling's Pavilion, Seating
Ling's Pavilion, Serves Alcohol
Ling's Pavilion, Full Bar
Ling's Pavilion, Table Service
Ling's Pavilion, Delivery
Rue Du Liban,Reservations
Rue Du Liban, Seating
Rue Du Liban, Accepts Credit Cards
Rue Du Liban, Table Service
Rue Du Liban, Takeout
Mamagoto,Reservations
Mamagoto, Seating
Mamagoto, Accepts Credit Cards
Mamagoto, Table Service
Mamagoto, Takeout
McDonalds Family Restaurant,Takeout
McDonalds Family Restaurant, Delivery
McDonalds Family Restaurant, Seating
Ideal Corner,Takeout
Ideal Corner, Seating
Ideal Corner, Table Service
Poetry by Love and Cheesecake,Reservations
Poetry by Love and Cheesecake, Seating
Poetry by Love and Cheesecake, Table Service
Effingut,Reservations
Effingut, Seating
Effingut, Serves Alcohol
Effingut, Table Service
Millennials Eatery & Bar,Seating
Millennials Eatery & Bar, Accepts Credit Cards
Millennials Eatery & Bar, Table Service
Millennials Eatery & Bar, Reservations
Baskin-Robbins,Takeout
AKA Bistro,Seating
AKA Bistro, Reservations
AKA Bistro, Table Service
Plenty,Seating
Plenty, Takeout
Plenty, Table Service
Bademiya Restaurant,Delivery
Bademiya Restaurant, Takeout
Bademiya Restaurant, Seating
Bademiya Restaurant, Table Service
Fountain Sizzlers,Reservations
Fountain Sizzlers, Seating
Fountain Sizzlers, Table Service
