restaurant name,locality,feature,review,sentiment
aura always veg,Eksar,cuisine,This is a good hotel for having south Indian cuisine,1
aura always veg,Eksar,place,We visited this place on the weekend and found it to be nicely located good food at reasonable prices don ’ t miss the veg Biryani,1
aura always veg,Eksar,place,this is one of the good place to have dinner with your family,1
aura always veg,Eksar,place,Food is good and good clean place.But now it is expensive.Delivers at home on time,1
aura always veg,Eksar,place,This place has good food which can make a hungry soul full with food,1
aura always veg,Eksar,place,Typical south indian place but good food,-1
aura always veg,Eksar,place,"Good food good service we order masala dose it was very crispy and served with exotic Sam har and chutney we order American choosey it was very well prepared I like this place it is good anyone not gone before should try tis once , comfortably located",1
aura always veg,Eksar,food,Good decent restaurant with decent service and tasty food,1
aura always veg,Eksar,food,We visited this place on the weekend and found it to be nicely located good food at reasonable prices don ’ t miss the veg Biryani,1
aura always veg,Eksar,food,However on both occasions I felt that the food when served was somewhat extra hot for my tongue,1
aura always veg,Eksar,food,They also have chinese on their menu however i would suggest to stick to South Indian food here as the chinese is not that great,-1
aura always veg,Eksar,food,Punjabi & South Indian food is good .,1
aura always veg,Eksar,food,This place has good food which can make a hungry soul full with food,1
aura always veg,Eksar,food,Typical south indian place but good food,-1
aura always veg,Eksar,food,"Good food good service we order masala dose it was very crispy and served with exotic Sam har and chutney we order American choosey it was very well prepared I like this place it is good anyone not gone before should try tis once , comfortably located",1
aura always veg,Eksar,quality,Food here is Tasty with good quality,1
aura always veg,Eksar,service,Good decent restaurant with decent service and tasty food,1
aura always veg,Eksar,service,Light snacks and quick bites are also great.Important thing to mention is service by stewards,1
aura always veg,Eksar,service,"Whenever we make a sudden decision to eat out we often head to Aura.It serves good South Indian , good pav bhaji & good Chinese All these items are at a VFM price & good service",1
aura always veg,Eksar,service,"Good food good service we order masala dose it was very crispy and served with exotic Sam har and chutney we order American choosey it was very well prepared I like this place it is good anyone not gone before should try tis once , comfortably located",1
aura always veg,Eksar,location,It is situated at a convenient location and is quite popular with nearby residents,1
aura always veg,Eksar,price,We visited this place on the weekend and found it to be nicely located good food at reasonable prices don ’ t miss the veg Biryani,1
aura always veg,Eksar,price,"Whenever we make a sudden decision to eat out we often head to Aura.It serves good South Indian , good pav bhaji & good Chinese All these items are at a VFM price & good service",1
aura always veg,Eksar,restaurant,Good decent restaurant with decent service and tasty food,1
green channel,Eksar,cuisine,"Non AC.Serves multi cuisine food.No valet , but parking not a problem.Good place to spend time with friends at late afternoon/ early evening - as it is usually almost empty .",-1
green channel,Eksar,decor,The ambiance is also good as they had decorated the place with lanterns .,1
green channel,Eksar,place,If ever hungry after a trip to gorai beach and wana have a some tasty maharasthrian type breakfast ... then head to this place ... .a mouth watering and spicy misal awaits u there.I am sure your taste buds are rocketed after having the misal here.My favourite place to be as i combine the misal with some chilled glass of buttermilk ... power packed breakfast.The hotel interiors give you a nice feel too..its a non ac sitting with a lot of college goers favourite..,1
green channel,Eksar,place,"Non AC.Serves multi cuisine food.No valet , but parking not a problem.Good place to spend time with friends at late afternoon/ early evening - as it is usually almost empty .",-1
green channel,Eksar,place,We went here for deserts with cousins and found the place reasonable in rates and good in service,1
green channel,Eksar,place,Great variety of food in this place,1
green channel,Eksar,place,The ambiance is also good as they had decorated the place with lanterns .,1
green channel,Eksar,food,"We have not regretted it , food quality is very good .",1
green channel,Eksar,food,"Non AC.Serves multi cuisine food.No valet , but parking not a problem.Good place to spend time with friends at late afternoon/ early evening - as it is usually almost empty .",-1
green channel,Eksar,food,"Average food , nothing great",1
green channel,Eksar,food,YOu get cheap chinese food here but not great taste,-1
green channel,Eksar,food,They get cheap chinese food .,1
green channel,Eksar,food,Great variety of food in this place,1
green channel,Eksar,quality,"We have not regretted it , food quality is very good .",1
green channel,Eksar,service,We went here for deserts with cousins and found the place reasonable in rates and good in service,1
green channel,Eksar,order,It ’ s an outlet which is more interested in serving for delivery order so weigh your options carefully,1
green channel,Eksar,restaurant,As you see I have given this restaurant a 1 star rating which is terrible as per Trip Advisor,-1
green channel,Eksar,taste,If ever hungry after a trip to gorai beach and wana have a some tasty maharasthrian type breakfast ... then head to this place ... .a mouth watering and spicy misal awaits u there.I am sure your taste buds are rocketed after having the misal here.My favourite place to be as i combine the misal with some chilled glass of buttermilk ... power packed breakfast.The hotel interiors give you a nice feel too..its a non ac sitting with a lot of college goers favourite..,1
green channel,Eksar,taste,YOu get cheap chinese food here but not great taste,-1
gossip the cafe bar,Eksar,value,A great place for continental meals the pasta is wow as well as the burgers and pizzas the combo meals are real value for money,1
gossip the cafe bar,Eksar,pizza,"love this place for its taste and shakes ! ! ! always crowded hence little slow on service but worth the price and the wait ! pizzas , pastas , garlic bread and the shakes , coffee everything they serve is great ! !",1
gossip the cafe bar,Eksar,pizza,"Apart from that have been a regular at trying the pizza ( particularly Gossip Veggie Delight ) , French fries , hot chocolate , iced tea and Ginger FizzWith a cozy ambience and good friends , this is a must visit place to hang out",1
gossip the cafe bar,Eksar,pizza,"Is supposed to be Wi FIed but I could not log into it.We ordered the regular cappuccino , gossip special pizza and a chocolate cold coffee",1
gossip the cafe bar,Eksar,pizza,A great place for continental meals the pasta is wow as well as the burgers and pizzas the combo meals are real value for money,1
gossip the cafe bar,Eksar,pizza,"Superb pizzas and panini sandwich in Brown Breads , very good quality , presentation of dishes and drinks served , a must place to eat if around that area",1
gossip the cafe bar,Eksar,pizza,"Good spread of cold coffee , green tea , pasta , pizza , burger etc",1
gossip the cafe bar,Eksar,place,"love this place for its taste and shakes ! ! ! always crowded hence little slow on service but worth the price and the wait ! pizzas , pastas , garlic bread and the shakes , coffee everything they serve is great ! !",1
gossip the cafe bar,Eksar,place,Nothing so great about the place but still good enough for all chit chat with friends .,-1
gossip the cafe bar,Eksar,place,"Having lived in Borivali for almost 4 years of my life now , this is my go to place to visit friends and just chit chat on a weekend afternoon ... no one disturbs you and you can sit here for long eating and munching delicious snack foods along with good company and lots of chit chat ... With around 5 tables in non ac section and 7-8 tables in ac sections , there is enough distance to give moderate privacyThe best item on their menu is their pastas , which have rich creamy sauce unlike those in other places ... love the pink sauce one specially",1
gossip the cafe bar,Eksar,place,"Apart from that have been a regular at trying the pizza ( particularly Gossip Veggie Delight ) , French fries , hot chocolate , iced tea and Ginger FizzWith a cozy ambience and good friends , this is a must visit place to hang out",1
gossip the cafe bar,Eksar,place,Nice chic place - perhaps only one around of it is kind in this area,1
gossip the cafe bar,Eksar,place,The crowd is good and neat and clean place .,1
gossip the cafe bar,Eksar,place,The place is so horrible that if there was a rating below 1 i would give that or even minus,-1
gossip the cafe bar,Eksar,place,A great place for continental meals the pasta is wow as well as the burgers and pizzas the combo meals are real value for money,1
gossip the cafe bar,Eksar,place,"Superb pizzas and panini sandwich in Brown Breads , very good quality , presentation of dishes and drinks served , a must place to eat if around that area",1
gossip the cafe bar,Eksar,place,Great place for hangout with friends or spouse,1
gossip the cafe bar,Eksar,place,"A small place , but excellent hangout place with mouth watering food",-1
gossip the cafe bar,Eksar,food,The food tastes horrible.The waiters suck big time.They smoke near the cafe and spoil the ambience.The waiters are very rude .,-1
gossip the cafe bar,Eksar,food,"Having lived in Borivali for almost 4 years of my life now , this is my go to place to visit friends and just chit chat on a weekend afternoon ... no one disturbs you and you can sit here for long eating and munching delicious snack foods along with good company and lots of chit chat ... With around 5 tables in non ac section and 7-8 tables in ac sections , there is enough distance to give moderate privacyThe best item on their menu is their pastas , which have rich creamy sauce unlike those in other places ... love the pink sauce one specially",1
gossip the cafe bar,Eksar,food,The food is horrible and the waiters can not even converse in English .,1
gossip the cafe bar,Eksar,food,"A small place , but excellent hangout place with mouth watering food",-1
gossip the cafe bar,Eksar,quality,"Superb pizzas and panini sandwich in Brown Breads , very good quality , presentation of dishes and drinks served , a must place to eat if around that area",1
gossip the cafe bar,Eksar,coffee,"It ’ s a nice outlet offering sandwiches , toasties , coffees etc and remains quite crowded as it is popular with youngsters and college students",1
gossip the cafe bar,Eksar,coffee,They have a good option for coffee and snacks,1
gossip the cafe bar,Eksar,coffee,"love this place for its taste and shakes ! ! ! always crowded hence little slow on service but worth the price and the wait ! pizzas , pastas , garlic bread and the shakes , coffee everything they serve is great ! !",1
gossip the cafe bar,Eksar,coffee,Nice ambience for a quiet coffee and chat,1
gossip the cafe bar,Eksar,coffee,"Is supposed to be Wi FIed but I could not log into it.We ordered the regular cappuccino , gossip special pizza and a chocolate cold coffee",1
gossip the cafe bar,Eksar,coffee,"Good spread of cold coffee , green tea , pasta , pizza , burger etc",1
gossip the cafe bar,Eksar,price,"love this place for its taste and shakes ! ! ! always crowded hence little slow on service but worth the price and the wait ! pizzas , pastas , garlic bread and the shakes , coffee everything they serve is great ! !",1
gossip the cafe bar,Eksar,price,Everything was delicious but found the cappuccino to be a bit overpriced for the size of the tiny cup.The gentleman serving us ( think it was the owner ) was very helpful but would have been happier if we were given a bit more time to browse the menu,-1
gossip the cafe bar,Eksar,ambience,The food tastes horrible.The waiters suck big time.They smoke near the cafe and spoil the ambience.The waiters are very rude .,-1
gossip the cafe bar,Eksar,ambience,"Apart from that have been a regular at trying the pizza ( particularly Gossip Veggie Delight ) , French fries , hot chocolate , iced tea and Ginger FizzWith a cozy ambience and good friends , this is a must visit place to hang out",1
gossip the cafe bar,Eksar,ambience,Nice ambience for a quiet coffee and chat,1
gossip the cafe bar,Eksar,service,"love this place for its taste and shakes ! ! ! always crowded hence little slow on service but worth the price and the wait ! pizzas , pastas , garlic bread and the shakes , coffee everything they serve is great ! !",1
gossip the cafe bar,Eksar,service,"They service is okay , sometimes quick and sometimes slow",1
